position;type;identity;sno;counts;ratio;around;deviation;ratio2;around2;cumul;mean;scoreA2;scoreB2;scoreC2
1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;NA;NA;NA;677;677;NA;NA;0,001477105;NA;NA;NA;NA;NA;NA
3;NA;NA;NA;318;0,46971935;NA;NA;2,128930818;NA;NA;NA;-0,361675181;0,053126547;0,050597109
4;NA;NA;NA;207;0,650943396;0,998087939;NA;1,536231884;0,086356078;0,898060211;0,898060211;0,216418952;1,375759109;0,580256137
5;NA;NA;NA;431;2,082125604;0,229271791;NA;0,480278422;0,798032482;0,475866755;0,475866755;-0,244180376;0,579434698;0,367400541
6;NA;NA;NA;573;1,329466357;0,557743045;NA;0,752181501;0,722461718;0,720377968;0,720377968;-0,413861955;0,288235833;0,224047611
7;NA;NA;NA;1692;2,952879581;-0,339744655;1,416803112;0,338652482;0,883012891;-0,554295664;-0,554295664;-0,644042903;0,712484845;-2,483178937
8;NA;NA;NA;552;0,326241135;0,89277322;-0,114140518;3,065217391;-0,768846674;0,684111113;0,684111113;-0,224309391;0,407918531;0,290104237
9;NA;NA;NA;370;0,670289855;0,738431482;0,252633181;1,491891892;0,475449005;0,747747647;0,747747647;-0,114247632;0,962476947;0,491114409
10;NA;NA;NA;419;1,132432432;0,084043238;0,891918962;0,883054893;0,757063812;0,236083926;0,236083926;-0,21277652;0,138596491;-0,161342086
11;NA;NA;NA;299;0,713603819;0,61255982;0,546971833;1,401337793;0,388124615;0,431907432;0,431907432;-0,015030686;0,064298246;0,060603555
12;NA;NA;NA;228;0,762541806;0,747787089;0,440037857;1,311403509;0,251255044;0,736331139;0,736331139;-0,044364363;0,887267295;0,47122368
13;NA;NA;NA;255;1,118421053;0,538538797;0,613193981;0,894117647;0,724875189;0,720615563;0,720615563;-0,224652087;0,532894737;0,348527632
14;NA;NA;NA;786;3,082352941;-0,944845163;3,243123042;0,324427481;0,90269233;-1,317446554;-1,317446554;-0,556340837;0,700628636;-2,350308469
15;NA;NA;NA;227;0,288804071;0,927901242;0,231247913;3,462555066;-1,690047944;0,740727022;0,740727022;-0,228226957;1,101223453;0,525183024
16;NA;NA;NA;227;1;0,781392438;0,4242362;1;0,553552802;0,820186034;0,820186034;0,035310088;2,78566482;0,736699124
17;NA;NA;NA;638;2,810572687;0,32380786;0,80930347;0,355799373;0,85897963;0,619674852;0,619674852;-0,162244056;2,80532905;0,73751394
18;NA;NA;NA;1893;2,967084639;0,260483977;0,757505603;0,337031167;0,915541845;0,615761631;0,615761631;-0,863175593;0,3351998;0,251147732
19;NA;NA;NA;7680;4,057052298;-0,344524179;1,316899629;0,246484375;0,971039285;-0,255035046;-0,255035046;-0,939351533;0,870360219;-6,720430676
20;NA;NA;NA;1204;0,156770833;0,967183488;0,129508414;6,378737542;-0,165545913;-0,232063829;-0,232063829;-0,511461326;1,13433064;0,53167576
21;NA;NA;NA;121;0,100498339;0,973251527;0,206207747;9,950413223;-1,431311146;0,963650916;0,963650916;0,225317093;17,64581536;0,946784871
22;NA;NA;NA;294;2,429752066;-0,420498014;1,397995511;0,411564626;0,954050304;0,190170555;0,190170555;-0,340549237;0,777609277;0,438282468
23;NA;NA;NA;256;0,870748299;0,718403902;0,345297177;1,1484375;0,800839123;0,748858435;0,748858435;0,100208285;0,753839853;0,430778233
24;NA;NA;NA;587;2,29296875;0,128962318;0,874278963;0,436115843;0,779312968;0,430517582;0,430517582;-0,278231863;0,213569638;-0,272156952
25;NA;NA;NA;799;1,361158433;0,353833849;0,501782118;0,734668335;0,732072845;0,555482016;0,555482016;-0,644089022;0,507664474;-1,033759796
26;NA;NA;NA;482;0,603254068;0,712589695;0,694779963;1,657676349;0,757130183;0,68047823;0,68047823;-0,264518973;0,147324834;-0,173200102
27;NA;NA;NA;215;0,446058091;0,913786884;0,591597283;2,241860465;0,648366766;-1,353368164;-1,353368164;-0,00579383;0,684332359;0,40741278
28;NA;NA;NA;21;0,097674419;0,983397261;0,540845196;10,23809524;-3,620523213;0,982755734;0,982755734;0,734676734;13,44138756;0,933693394
29;NA;NA;NA;174;8,285714286;-2,579441175;11,10093273;0,120689655;0,982114207;-0,822762486;-0,822762486;0,047502259;0,911729323;0,478343195
30;NA;NA;NA;423;2,431034483;0,546071597;0,73791406;0,411347518;0,933916204;0,607131473;0,607131473;-0,323168851;0,180362463;-0,220686513
31;NA;NA;NA;700;1,654846336;0,724314433;0,637227878;0,604285714;0,668191349;0,464150928;0,464150928;-0,57864128;0,506194159;-1,028057335
32;NA;NA;NA;471;0,672857143;0,760352274;0,611154025;1,486199575;0,203987423;0,574013736;0,574013736;-0,203225293;0,100691347;-0,112229679
33;NA;NA;NA;290;0,615711253;0,668365759;0,267332611;1,624137931;0,387675198;0,635160577;0,635160577;-0,056769438;0,340477482;0,254649983
34;NA;NA;NA;265;0,913793103;0,667001192;0,256291585;1,094339623;0,601955396;0,40764137;0,40764137;-0,268983582;0,248614958;0,1997139
35;NA;NA;NA;125;0,471698113;0,836205988;-0,043638179;2,12;0,148281549;0,869987079;0,869987079;0,278500893;1,519632414;0,605022451
36;NA;NA;NA;466;3,728;-0,621913637;2,071116455;0,268240343;0,903768171;-0,253120489;-0,253120489;-0,582479307;0,339625831;-0,515966099
